09-09 00:00(TW),0,0,0,0.00
09-09 01:00(TW),0,0,0,0.00
09-09 02:00(TW),0,0,0,0.00
09-09 03:00(TW),0,0,0,0.00
09-09 04:00(TW),0,0,0,0.00
09-09 05:00(TW),0,0,0,0.00
09-09 06:00(TW),0,0,0,0.00
09-09 07:00(TW),0,0,0,0.00
09-09 08:00(TW),0,0,0,0.00
09-09 09:00(TW),0,0,0,0.00
09-09 10:00(TW),0,0,0,0.00
09-09 11:00(TW),0,0,0,0.00
09-09 12:00(TW),0,0,0,0.00
09-09 13:00(TW),0,0,0,0.00
09-09 14:00(TW),0,0,0,0.00
09-09 15:00(TW),0,0,0,0.00
09-09 16:00(TW),0,0,0,0.00
09-09 17:00(TW),2008,20,0,3.82
09-09 18:00(TW),11081,88,0,18.89
09-09 19:00(TW),11487,79,11,16.54
09-09 20:00(TW),5168,46,3,6.83
09-09 21:00(TW),11292,70,1,12.65
09-09 22:00(TW),13084,56,1,11.94
09-09 23:00(TW),12704,63,0,11.65
09-10 00:00(TW),438,2,0,0.40
09-10 01:00(TW),3,0,0,0.00
09-10 02:00(TW),0,0,0,0.00
09-10 03:00(TW),0,0,0,0.00
09-10 04:00(TW),0,0,0,0.00
09-10 05:00(TW),0,0,0,0.00
09-10 06:00(TW),0,0,0,0.00
09-10 07:00(TW),4829,16,0,4.97
09-10 08:00(TW),4305,19,1,4.47
09-10 09:00(TW),4210,23,1,4.37
09-10 10:00(TW),4376,28,0,4.52
09-10 11:00(TW),2688,14,0,2.83
09-10 12:00(TW),83,2,0,0.05
09-10 13:00(TW),4267,22,0,4.18
09-10 14:00(TW),4078,10,0,4.20
09-10 15:00(TW),4338,21,0,4.24
09-10 16:00(TW),4513,18,0,4.22
09-10 17:00(TW),4706,26,0,4.18
09-10 18:00(TW),8879,55,0,8.32
09-10 19:00(TW),13091,78,0,12.11
09-10 20:00(TW),13167,75,0,12.35
09-10 21:00(TW),13238,80,0,12.38
09-10 22:00(TW),12931,73,0,12.17
09-10 23:00(TW),9390,54,0,8.55
09-11 00:00(TW),1097,8,0,1.00
09-11 01:00(TW),27,0,0,0.03
09-11 02:00(TW),2,0,0,0.00
09-11 03:00(TW),0,0,0,0.00
09-11 04:00(TW),0,0,0,0.00
09-11 05:00(TW),0,0,0,0.00
09-11 06:00(TW),5,0,0,0.00
09-11 07:00(TW),5954,28,0,7.23
09-11 08:00(TW),7385,30,0,8.06
09-11 09:00(TW),7253,30,0,8.18
09-11 10:00(TW),5721,30,0,5.07
09-11 11:00(TW),4688,20,0,2.86
09-11 12:00(TW),5814,37,0,3.49
09-11 13:00(TW),5578,36,0,3.31
09-11 14:00(TW),5317,31,0,3.21
09-11 15:00(TW),4708,19,0,3.07
09-11 16:00(TW),5654,33,0,3.81
09-11 17:00(TW),5588,35,0,3.70
09-11 18:00(TW),8082,40,0,4.80
09-11 19:00(TW),10428,66,0,6.12
09-11 20:00(TW),8217,42,0,4.88
09-11 21:00(TW),13973,120,0,8.33
09-11 22:00(TW),19520,102,0,18.06
09-11 23:00(TW),19661,112,2,19.57
09-12 00:00(TW),10229,43,0,13.50
09-12 01:00(TW),994,9,0,1.25
09-12 02:00(TW),55,1,0,0.07
09-12 03:00(TW),1,0,0,0.00
09-12 04:00(TW),0,0,0,0.00
09-12 05:00(TW),4,0,0,0.00
09-12 06:00(TW),9,1,0,0.00
09-12 07:00(TW),2445,26,0,3.19
09-12 08:00(TW),2869,14,0,4.35
09-12 09:00(TW),2392,8,0,3.72
09-12 10:00(TW),4706,17,0,9.23
09-12 11:00(TW),6869,45,0,16.23
09-12 12:00(TW),8662,51,1,21.07
09-12 13:00(TW),5509,43,1,14.63
09-12 14:00(TW),6340,37,0,16.22
09-12 15:00(TW),6763,37,1,15.68
09-12 16:00(TW),6998,31,1,14.56
09-12 17:00(TW),7937,42,0,15.85
09-12 18:00(TW),10091,62,0,20.27
09-12 19:00(TW),12626,91,1,26.52
09-12 20:00(TW),11115,73,1,23.31
09-12 21:00(TW),17951,106,1,36.95
09-12 22:00(TW),6284,40,0,13.67
09-12 23:00(TW),16389,90,0,31.50
09-13 00:00(TW),4512,21,0,6.01
09-13 01:00(TW),329,3,0,0.41
09-13 02:00(TW),3,0,0,0.00
09-13 03:00(TW),1,0,0,0.00
09-13 04:00(TW),2,1,0,0.00
09-13 05:00(TW),0,0,0,0.00
09-13 06:00(TW),5,0,0,0.00
09-13 07:00(TW),1608,5,0,2.24
09-13 08:00(TW),3243,10,0,4.60
09-13 09:00(TW),3688,18,0,4.97
09-13 10:00(TW),1002,19,0,1.10
09-13 11:00(TW),480,7,0,0.39
09-13 12:00(TW),486,5,0,0.37
09-13 13:00(TW),455,10,0,0.35
09-13 14:00(TW),483,8,0,0.38
09-13 15:00(TW),434,4,0,0.34
09-13 16:00(TW),462,6,1,0.38
09-13 17:00(TW),321,5,0,0.22
09-13 18:00(TW),1163,5,0,0.78
09-13 19:00(TW),1645,6,0,0.99
09-13 20:00(TW),2635,19,0,1.62
09-13 21:00(TW),2475,18,0,1.66
09-13 22:00(TW),1486,16,0,1.14
09-13 23:00(TW),1176,11,0,0.96
09-14 00:00(TW),1305,15,0,1.02
09-14 01:00(TW),93,1,0,0.06
09-14 02:00(TW),7,0,0,0.00
09-14 03:00(TW),3,0,0,0.00
09-14 04:00(TW),0,0,0,0.00
09-14 05:00(TW),0,0,0,0.00
09-14 06:00(TW),3,0,0,0.00
09-14 07:00(TW),227,0,0,0.15
09-14 08:00(TW),258,2,0,0.21
09-14 09:00(TW),381,4,0,0.27
09-14 10:00(TW),4066,13,0,4.34
09-14 11:00(TW),5721,30,0,6.32
09-14 12:00(TW),5946,23,0,6.79
09-14 13:00(TW),5604,36,0,6.04
09-14 14:00(TW),5162,24,0,5.61
09-14 15:00(TW),5807,43,0,6.30
09-14 16:00(TW),6039,29,0,6.54
09-14 17:00(TW),7263,41,0,8.02
09-14 18:00(TW),8034,57,1,8.78
09-14 19:00(TW),10452,69,1,10.99
09-14 20:00(TW),12924,73,0,13.65
09-14 21:00(TW),11542,55,1,12.54
09-14 22:00(TW),11476,80,0,13.44
09-14 23:00(TW),10401,81,1,11.23
09-15 00:00(TW),6453,35,0,6.53
09-15 01:00(TW),269,1,0,0.26
09-15 02:00(TW),21,0,0,0.00
09-15 03:00(TW),19,0,0,0.00
09-15 04:00(TW),18,0,0,0.00
09-15 05:00(TW),17,0,0,0.00
09-15 06:00(TW),3,1,0,0.00
09-15 07:00(TW),1962,16,0,2.20
09-15 08:00(TW),3109,27,0,3.29
09-15 09:00(TW),4297,38,0,4.63
09-15 10:00(TW),6833,43,0,7.18
09-15 11:00(TW),6694,41,0,6.82
09-15 12:00(TW),5614,48,0,5.86
09-15 13:00(TW),5781,55,0,6.20
09-15 14:00(TW),6138,51,0,6.67
09-15 15:00(TW),8851,67,1,12.30
09-15 16:00(TW),9734,72,0,14.12
09-15 17:00(TW),8326,47,1,11.16
09-15 18:00(TW),9296,63,0,12.52
09-15 19:00(TW),13055,99,0,17.47
09-15 20:00(TW),13022,78,0,17.07
09-15 21:00(TW),14718,91,0,19.82
09-15 22:00(TW),11496,55,2,16.07
09-15 23:00(TW),7286,48,0,10.36
09-16 00:00(TW),8062,69,2,9.92
09-16 01:00(TW),623,7,1,0.70
09-16 02:00(TW),22,0,0,0.00
09-16 03:00(TW),17,0,0,0.00
09-16 04:00(TW),16,0,0,0.00
09-16 05:00(TW),14,0,0,0.00
09-16 06:00(TW),4,0,0,0.00
09-16 07:00(TW),2716,18,0,4.13
09-16 08:00(TW),4959,30,0,7.05
09-16 09:00(TW),5670,30,0,7.92
09-16 10:00(TW),5237,35,0,7.79
09-16 11:00(TW),3697,28,0,5.83
09-16 12:00(TW),4534,23,0,7.27
09-16 13:00(TW),4187,42,0,6.45
09-16 14:00(TW),4624,34,0,6.60
09-16 15:00(TW),6061,37,0,8.63
09-16 16:00(TW),5859,35,0,8.03
09-16 17:00(TW),6629,62,0,9.78
09-16 18:00(TW),8131,44,1,11.42
09-16 19:00(TW),12312,89,0,16.47
09-16 20:00(TW),14832,80,0,19.13
09-16 21:00(TW),14027,108,2,18.81
09-16 22:00(TW),12261,80,1,17.25
09-16 23:00(TW),11994,63,3,16.91
09-17 00:00(TW),5968,41,1,7.84
09-17 01:00(TW),554,7,0,0.70
09-17 02:00(TW),8,0,0,0.00
09-17 03:00(TW),1,1,0,0.00
09-17 04:00(TW),1,0,0,0.00
09-17 05:00(TW),0,0,0,0.00
09-17 06:00(TW),2,0,0,0.00
09-17 07:00(TW),4806,29,0,7.04
09-17 08:00(TW),4848,18,0,6.92
09-17 09:00(TW),4981,27,0,6.95
09-17 10:00(TW),4723,24,0,6.45
09-17 11:00(TW),4837,33,0,7.57
09-17 12:00(TW),5402,35,1,8.63
09-17 13:00(TW),6324,46,0,9.74
09-17 14:00(TW),5939,46,1,8.97
09-17 15:00(TW),6690,23,0,9.75
09-17 16:00(TW),7138,36,0,10.32
09-17 17:00(TW),7638,61,0,10.21
09-17 18:00(TW),11600,62,0,18.38
09-17 19:00(TW),11955,105,1,17.76
09-17 20:00(TW),11543,80,1,17.04
09-17 21:00(TW),10756,84,1,15.72
09-17 22:00(TW),9635,76,0,14.49
09-17 23:00(TW),10180,72,3,15.11
09-18 00:00(TW),3401,32,0,4.74
09-18 01:00(TW),284,10,0,0.40
09-18 02:00(TW),2,2,0,0.00
09-18 03:00(TW),1,1,0,0.00
09-18 04:00(TW),1,0,0,0.00
09-18 05:00(TW),1,1,0,0.00
09-18 06:00(TW),0,0,0,0.00
09-18 07:00(TW),3674,24,0,5.93
09-18 08:00(TW),5532,31,0,8.83
09-18 09:00(TW),5311,25,0,8.44
09-18 10:00(TW),5868,34,1,9.11
09-18 11:00(TW),5367,30,0,8.43
09-18 12:00(TW),5527,27,1,8.68
09-18 13:00(TW),6170,45,0,9.65
09-18 14:00(TW),5767,43,0,8.74
09-18 15:00(TW),7152,34,0,10.44
09-18 16:00(TW),5642,38,0,8.12
09-18 17:00(TW),6432,33,0,9.27
09-18 18:00(TW),5773,53,0,8.07
09-18 19:00(TW),5974,42,0,8.52
09-18 20:00(TW),6282,38,0,8.72
09-18 21:00(TW),6974,59,0,9.92
09-18 22:00(TW),6457,55,0,9.45
09-18 23:00(TW),6776,59,0,9.24
09-19 00:00(TW),1856,20,1,2.13
09-19 01:00(TW),427,8,0,0.52
09-19 02:00(TW),1,2,0,0.00
09-19 03:00(TW),4,0,0,0.00
09-19 04:00(TW),0,0,0,0.00
09-19 05:00(TW),0,1,0,0.00
09-19 06:00(TW),3,0,0,0.00
09-19 07:00(TW),3039,27,0,3.82
09-19 08:00(TW),5952,37,0,7.40
09-19 09:00(TW),7858,47,0,9.53
09-19 10:00(TW),7411,50,0,8.79
09-19 11:00(TW),7248,59,0,8.60
09-19 12:00(TW),9534,58,0,11.90
09-19 13:00(TW),9444,62,2,11.66
09-19 14:00(TW),7251,62,0,8.81
09-19 15:00(TW),7177,53,1,8.41
09-19 16:00(TW),7261,63,0,8.41
09-19 17:00(TW),7089,61,1,8.27
09-19 18:00(TW),6476,61,0,7.45
09-19 19:00(TW),10562,72,0,12.25
09-19 20:00(TW),11700,77,0,14.60
09-19 21:00(TW),7251,64,0,9.34
09-19 22:00(TW),7079,60,0,9.03
09-19 23:00(TW),6481,53,0,8.27
09-20 00:00(TW),1097,14,0,1.03
09-20 01:00(TW),223,2,0,0.25
09-20 02:00(TW),0,2,0,0.00
09-20 03:00(TW),0,0,0,0.00
09-20 04:00(TW),2,0,0,0.00
09-20 05:00(TW),3,1,0,0.00
09-20 06:00(TW),1,0,0,0.00
09-20 07:00(TW),3957,23,0,5.98
09-20 08:00(TW),6358,40,1,9.81
09-20 09:00(TW),6918,43,2,9.79
09-20 10:00(TW),6410,37,0,8.90
09-20 11:00(TW),6287,37,0,8.88
09-20 12:00(TW),5562,39,0,7.64
09-20 13:00(TW),6883,60,1,9.51
09-20 14:00(TW),6270,44,0,8.56
09-20 15:00(TW),6893,36,0,9.19
09-20 16:00(TW),5407,32,0,7.79
09-20 17:00(TW),6080,33,1,8.30
09-20 18:00(TW),5383,43,1,7.58
09-20 19:00(TW),6065,53,0,8.88
09-20 20:00(TW),5710,44,1,8.01
09-20 21:00(TW),6018,42,0,8.29
09-20 22:00(TW),1413,14,0,1.86
09-20 23:00(TW),262,3,0,0.93
